iter	Passed	Remaining
191	2550	10732
192	2565	10728
193	2583	10731
194	2598	10726
195	2613	10719
196	2617	10670
197	2631	10660
198	2644	10643
199	2654	10616
200	2657	10562
201	2671	10554
202	2686	10545
203	2700	10537
204	2715	10530
205	2729	10521
206	2744	10514
207	2754	10489
208	2769	10480
209	2781	10464
210	2797	10462
211	2815	10463
212	2832	10466
213	2850	10468
214	2866	10466
215	2884	10467
216	2899	10463
217	2915	10459
218	2930	10451
219	2943	10436
220	2959	10430
221	2975	10426
222	2990	10419
223	3005	10412
224	3021	10406
225	3054	10460
226	3080	10489
227	3108	10525
228	3189	10736
229	3211	10751
230	3230	10755
231	3247	10750
232	3270	10765
233	3285	10754
234	3299	10739
235	3314	10728
236	3328	10716
237	3342	10702
238	3347	10658
239	3360	10640
240	3368	10608
241	3383	10597
242	3398	10588
243	3414	10577
244	3419	10539
245	3435	10529
246	3450	10520
247	3466	10511
248	3482	10502
249	3499	10497
250	3516	10493
251	3532	10485
252	3549	10481
253	3566	10475
254	3586	10477
255	3603	10472
256	3620	10466
257	3637	10461
258	3654	10455
259	3672	10451
260	3688	10443
261	3704	10433
262	3727	10446
263	3744	10438
264	3763	10439
265	3782	10438
266	3802	10439
267	3808	10403
268	3828	10403
269	3837	10376
270	3855	10372
271	3874	10370
272	3892	10366
273	3910	10360
274	3926	10351
275	3943	10343
276	3962	10342
277	3980	10338
278	3990	10313
279	4013	10319
280	4036	10328
281	4056	10327
282	4075	10326
283	4096	10326
284	4115	10325
285	4134	10320
286	4152	10315
287	4170	10311
288	4187	10302
289	4206	10298
290	4223	10290
291	4237	10273
292	4251	10258
293	4265	10243
294	4289	10250
295	4302	10232
296	4316	10216
297	4329	10199
298	4343	10182
299	4356	10166
300	4371	10150
301	4398	10165
302	4413	10153
303	4428	10139
304	4442	10123
305	4456	10107
306	4470	10091
307	4484	10075
308	4497	10057
309	4511	10040
310	4524	10023
311	4537	10005
312	4550	9988
313	4572	9989
314	4587	9976
315	4602	9962
316	4627	9971
317	4676	10029
318	4715	10067
319	4739	10070
320	4775	10102
321	4838	10187
322	4898	10268
323	4947	10323
324	4981	10346
325	5006	10350
326	5028	10349
327	5049	10345
328	5077	10354
329	5103	10360
330	5167	10444
331	5219	10502
332	5289	10595
333	5332	10633
334	5366	10652
335	5391	10654
336	5416	10657
337	5437	10650
338	5452	10632
339	5468	10615
340	5484	10598
341	5498	10579
342	5513	10560
343	5527	10540
344	5541	10520
345	5556	10501
346	5571	10484
347	5585	10465
348	5602	10450
349	5618	10433
350	5638	10426
351	5656	10413
352	5676	10404
353	5696	10395
354	5715	10384
355	5737	10378
356	5761	10376
357	5783	10371
358	5807	10369
359	5826	10357
360	5842	10342
361	5856	10322
362	5870	10302
363	5883	10280
364	5898	10261
365	5912	10242
366	5927	10224
367	5944	10208
368	5960	10191
369	5976	10175
370	5993	10162
371	6009	10145
372	6026	10130
373	6047	10123
374	6070	10117
375	6090	10107
376	6108	10094
377	6126	10081
378	6143	10066
379	6160	10050
380	6178	10037
381	6196	10025
382	6217	10015
383	6234	10001
384	6252	9987
385	6267	9969
386	6281	9949
387	6297	9932
388	6311	9914
389	6326	9895
390	6341	9877
391	6355	9857
392	6369	9837
393	6384	9819
394	6404	9809
395	6420	9793
396	6451	9799
397	6464	9778
398	6478	9758
399	6493	9740
400	6509	9723
401	6523	9704
402	6537	9684
403	6553	9667
404	6570	9653
405	6585	9635
406	6601	9617
407	6616	9599
408	6632	9583
409	6645	9563
410	6660	9544
411	6675	9526
412	6690	9508
413	6706	9492
414	6722	9475
415	6737	9458
416	6752	9440
417	6766	9421
418	6781	9403
419	6793	9382
420	6808	9364
421	6824	9347
422	6841	9331
423	6856	9314
424	6870	9295
425	6884	9276
426	6899	9258
427	6913	9240
428	6926	9219
429	6941	9201
430	6955	9182
431	6969	9164
432	6984	9145
433	6998	9127
434	7013	9109
435	7026	9088
436	7042	9073
437	7071	9072
438	7097	9069
439	7119	9061
440	7138	9049
441	7158	9036
442	7179	9027
443	7204	9021
444	7226	9013
445	7245	9000
446	7258	8979
447	7273	8961
448	7287	8943
449	7302	8925
450	7319	8910
451	7336	8894
452	7352	8877
453	7366	8859
454	7381	8841
455	7395	8822
456	7408	8802
457	7422	8784
458	7437	8765
459	7452	8748
460	7466	8729
461	7480	8711
462	7494	8692
463	7508	8673
464	7523	8655
465	7537	8637
466	7553	8620
467	7569	8604
468	7584	8587
469	7601	8571
470	7618	8556
471	7635	8541
472	7651	8524
473	7667	8508
474	7681	8490
475	7696	8472
476	7715	8459
477	7737	8449
478	7757	8437
479	7777	8425
480	7798	8414
481	7818	8402
482	7840	8392
483	7862	8382
484	7879	8366
485	7897	8352
486	7914	8337
487	7938	8329
488	7956	8314
489	7972	8297
490	7989	8282
491	8005	8266
492	8034	8262
493	8054	8250
494	8072	8235
495	8095	8226
496	8110	8208
497	8124	8189
498	8138	8171
499	8153	8153
500	8169	8137
501	8184	8119
502	8202	8104
503	8218	8088
504	8235	8072
505	8253	8057
506	8270	8041
507	8286	8025
508	8303	8009
509	8319	7992
510	8335	7976
511	8351	7960
512	8366	7942
513	8381	7925
514	8396	7907
515	8411	7890
516	8427	7873
517	8442	7855
518	8456	7836
519	8469	7817
520	8484	7800
521	8499	7783
522	8515	7766
523	8531	7750
524	8548	7734
525	8565	7718
526	8581	7701
527	8597	7685
528	8613	7669
529	8629	7652
530	8645	7636
531	8661	7619
532	8677	7602
533	8693	7586
534	8707	7568
535	8723	7551
536	8737	7533
537	8750	7514
538	8764	7496
539	8778	7478
540	8792	7460
541	8807	7442
542	8833	7434
543	8847	7416
544	8862	7398
545	8877	7381
546	8893	7364
547	8908	7347
548	8924	7331
549	8939	7313
550	8953	7295
551	8966	7277
552	8980	7259
553	8994	7241
554	9008	7223
555	9023	7206
556	9039	7189
557	9057	7174
558	9076	7160
559	9091	7143
560	9106	7125
561	9120	7108
562	9133	7089
563	9148	7072
564	9162	7054
565	9179	7038
566	9195	7022
567	9209	7004
568	9223	6986
569	9237	6968
570	9253	6951
571	9266	6933
572	9286	6920
573	9299	6901
574	9313	6884
575	9329	6867
576	9345	6851
577	9361	6834
578	9377	6818
579	9391	6800
580	9406	6783
581	9420	6765
582	9434	6748
583	9448	6730
584	9462	6713
585	9477	6696
586	9491	6678
587	9506	6661
588	9521	6644
589	9538	6628
590	9554	6612
591	9569	6595
592	9583	6577
593	9597	6559
594	9612	6542
595	9626	6525
596	9642	6508
597	9656	6491
598	9670	6474
599	9686	6457
600	9702	6441
601	9719	6425
602	9736	6410
603	9754	6395
604	9770	6379
605	9786	6362
606	9807	6349
607	9836	6341
608	9854	6326
609	9876	6314
610	9892	6298
611	9909	6282
612	9926	6266
613	9943	6251
614	9959	6234
615	9975	6218
616	9990	6201
617	10005	6184
618	10019	6166
619	10035	6150
620	10053	6135
621	10070	6120
622	10085	6103
623	10099	6085
624	10112	6067
625	10125	6049
626	10139	6032
627	10153	6014
628	10168	5997
629	10183	5980
630	10197	5963
631	10212	5946
632	10225	5928
633	10240	5911
634	10254	5894
635	10268	5877
636	10283	5860
637	10297	5842
638	10312	5825
639	10324	5807
640	10339	5790
641	10354	5773
642	10370	5757
643	10391	5744
644	10413	5731
645	10437	5719
646	10454	5704
647	10468	5686
648	10482	5669
649	10497	5652
650	10512	5635
651	10528	5619
652	10541	5601
653	10555	5584
654	10569	5567
655	10583	5550
656	10598	5533
657	10612	5515
658	10626	5498
659	10639	5481
660	10654	5464
661	10668	5447
662	10684	5430
663	10698	5413
664	10714	5397
665	10728	5380
666	10743	5363
667	10756	5345
668	10770	5328
669	10784	5311
670	10799	5295
671	10814	5278
672	10828	5261
673	10842	5244
674	10855	5226
675	10869	5209
676	10884	5192
677	10898	5176
678	10913	5159
679	10927	5142
680	10942	5125
681	10955	5108
682	10969	5091
683	10983	5074
684	10998	5057
685	11013	5041
686	11030	5025
687	11048	5010
688	11066	4994
689	11080	4977
690	11094	4961
691	11108	4944
692	11121	4926
693	11135	4909
694	11150	4893
695	11164	4876
696	11179	4860
697	11194	4843
698	11208	4826
699	11224	4810
700	11237	4793
701	11251	4776
702	11266	4759
703	11280	4742
704	11294	4726
705	11319	4713
706	11334	4697
707	11349	4680
708	11363	4664
709	11378	4647
710	11392	4630
711	11408	4614
712	11423	4598
713	11436	4581
714	11451	4564
715	11465	4547
716	11479	4531
717	11494	4514
718	11510	4498
719	11535	4485
720	11556	4471
721	11583	4460
722	11603	4445
723	11629	4433
724	11656	4421
725	11678	4407
726	11699	4393
727	11727	4381
728	11751	4368
729	11777	4355
730	11800	4342
731	11832	4332
732	11874	4325
733	11899	4312
734	11924	4299
735	11951	4286
736	11976	4273
737	11993	4257
738	12010	4241
739	12027	4226
740	12045	4210
741	12063	4194
742	12081	4178
743	12098	4162
744	12113	4146
745	12128	4129
746	12144	4113
747	12160	4096
748	12177	4080
749	12191	4063
750	12206	4047
751	12220	4030
752	12233	4012
753	12247	3995
754	12262	3979
755	12276	3962
756	12290	3945
757	12305	3928
758	12319	3911
759	12342	3897
760	12357	3881
761	12372	3864
762	12387	3847
763	12401	3830
764	12415	3813
765	12429	3796
766	12443	3780
767	12458	3763
768	12472	3746
769	12487	3729
770	12501	3713
771	12516	3696
772	12530	3679
773	12544	3662
774	12559	3646
775	12574	3629
776	12588	3612
777	12602	3596
778	12615	3579
779	12629	3562
780	12643	3545
781	12658	3528
782	12673	3512
783	12688	3495
784	12703	3479
785	12718	3462
786	12731	3445
787	12745	3428
788	12759	3412
789	12774	3395
790	12788	3379
791	12803	3362
792	12817	3345
793	12830	3328
794	12844	3312
795	12858	3295
796	12873	3279
797	12887	3262
798	12903	3246
799	12918	3229
800	12933	3213
801	12949	3196
802	12962	3180
803	12976	3163
804	12990	3146
805	13004	3130
806	13019	3113
807	13036	3097
808	13052	3081
809	13066	3064
810	13079	3048
811	13094	3031
812	13108	3015
813	13122	2998
814	13136	2981
815	13150	2965
816	13165	2948
817	13179	2932
818	13194	2915
819	13208	2899
820	13223	2882
821	13237	2866
822	13250	2849
823	13265	2833
824	13278	2816
825	13293	2800
826	13307	2783
827	13321	2767
828	13335	2750
829	13350	2734
830	13364	2717
831	13377	2701
832	13392	2684
833	13406	2668
834	13420	2652
835	13435	2635
836	13449	2619
837	13464	2602
838	13477	2586
839	13491	2569
840	13508	2553
841	13522	2537
842	13536	2521
843	13550	2504
844	13564	2488
845	13578	2471
846	13591	2455
847	13606	2438
848	13622	2422
849	13636	2406
850	13650	2390
851	13665	2373
852	13681	2357
853	13696	2341
854	13711	2325
855	13724	2308
856	13738	2292
857	13752	2276
858	13766	2259
859	13780	2243
860	13795	2227
861	13808	2210
862	13822	2194
863	13837	2178
864	13851	2161
865	13865	2145
866	13879	2129
867	13894	2113
868	13908	2096
869	13922	2080
870	13937	2064
871	13951	2047
872	13966	2031
873	13980	2015
874	13994	1999
875	14010	1983
876	14024	1966
877	14042	1951
878	14057	1935
879	14071	1918
880	14085	1902
881	14099	1886
882	14114	1870
883	14128	1853
884	14143	1837
885	14155	1821
886	14171	1805
887	14185	1789
888	14200	1773
889	14215	1756
890	14230	1740
891	14244	1724
892	14259	1708
893	14272	1692
894	14287	1676
895	14317	1661
896	14358	1648
897	14380	1633
898	14404	1618
899	14435	1603
900	14461	1589
901	14517	1577
902	14540	1561
903	14559	1546
904	14579	1530
905	14599	1514
906	14618	1498
907	14649	1484
908	14681	1469
909	14700	1453
910	14717	1437
911	14734	1421
912	14752	1405
913	14769	1389
914	14793	1374
915	14816	1358
916	14831	1342
917	14845	1326
918	14860	1309
919	14874	1293
920	14887	1276
921	14900	1260
922	14916	1244
923	14930	1228
924	14944	1211
925	14958	1195
926	14972	1179
927	14986	1162
928	15000	1146
929	15016	1130
930	15034	1114
931	15052	1098
932	15067	1082
933	15081	1065
934	15096	1049
935	15113	1033
936	15128	1017
937	15143	1000
938	15159	984
939	15175	968
940	15190	952
941	15205	936
942	15219	919
943	15232	903
944	15246	887
945	15261	871
946	15275	854
947	15290	838
948	15305	822
949	15319	806
950	15333	790
951	15347	773
952	15362	757
953	15402	742
954	15428	726
955	15459	711
956	15486	695
957	15511	680
958	15544	664
959	15588	649
960	15611	633
961	15631	617
962	15650	601
963	15671	585
964	15691	569
965	15711	552
966	15730	536
967	15771	521
968	15789	505
969	15804	488
970	15820	472
971	15834	456
972	15847	439
973	15862	423
974	15877	407
975	15893	390
976	15909	374
977	15927	358
978	15944	342
979	15961	325
980	16016	310
981	16045	294
982	16074	277
983	16118	262
984	16144	245
985	16172	229
986	16196	213
987	16219	196
988	16242	180
989	16259	164
990	16276	147
991	16291	131
992	16307	114
993	16322	98
994	16337	82
995	16353	65
996	16368	49
997	16382	32
998	16397	16
999	16411	0
