iter	Logloss
0	0.6810515779
1	0.6695930429
2	0.656858793
3	0.6466560423
4	0.6360418451
5	0.6270951524
6	0.6172944107
7	0.6094153076
8	0.6006942192
9	0.592049008
10	0.5833390638
11	0.5812981254
12	0.5734232991
13	0.5659203516
14	0.5598534965
15	0.5515546062
16	0.5467237193
17	0.541202912
18	0.5356972584
19	0.5314034424
20	0.5268471342
21	0.5235943115
22	0.519942683
23	0.5154180479
24	0.5124343003
25	0.5081161076
26	0.5045792197
27	0.5003981255
28	0.4980255583
29	0.495547228
30	0.4931922235
31	0.4898310216
32	0.487878507
33	0.4861174935
34	0.4815565482
35	0.4777664783
36	0.4751431399
37	0.4733670643
38	0.4729180355
39	0.469453082
40	0.4674401134
41	0.4669219565
42	0.4650943888
43	0.4634369876
44	0.4630317394
45	0.4619550573
46	0.4611152866
47	0.4601115801
48	0.4586578992
49	0.4551055445
50	0.4544238155
51	0.4522316118
52	0.4508908921
53	0.4490278693
54	0.4482510004
55	0.4458601544
56	0.4435433347
57	0.4425054467
58	0.4409405803
59	0.4389566058
60	0.438246432
61	0.4365330743
62	0.4358265734
63	0.4357250656
64	0.434911204
65	0.4341125211
66	0.4338110781
67	0.433318982
68	0.4329115104
69	0.4301734175
70	0.4300999533
71	0.429903038
72	0.4290025151
73	0.4276865063
74	0.4268834379
75	0.4261774995
76	0.4254555292
77	0.4251282111
78	0.42479965
79	0.4246997235
80	0.4237477025
81	0.4226253033
82	0.4224240665
83	0.4223008809
84	0.4214177865
85	0.4193488632
86	0.4191415021
87	0.4183172778
88	0.4175778421
89	0.415838847
90	0.4150998718
91	0.4143903432
92	0.4136322271
93	0.4125607133
94	0.4119355371
95	0.411483209
96	0.4097328419
97	0.4093415429
98	0.4083304737
99	0.4083199302
100	0.4077602545
101	0.4074765343
102	0.407186008
103	0.4062922904
104	0.4058657915
105	0.4049866447
106	0.4033627377
107	0.4033039675
108	0.4027857767
109	0.4024903975
110	0.4016470368
111	0.4005450055
112	0.3998407769
113	0.3997717106
114	0.3991218374
115	0.3989832851
116	0.3985181619
117	0.3978676344
118	0.3975835708
119	0.3975649864
120	0.3972344728
121	0.3966786183
122	0.3952211666
123	0.3942914371
124	0.3940695761
125	0.3937382005
126	0.3934112333
127	0.3929316874
128	0.3924754887
129	0.3923914232
130	0.3920330914
131	0.3919785299
132	0.3913619749
133	0.3909034155
134	0.3907757199
135	0.3892892284
136	0.3892788511
137	0.3885721
138	0.3881146128
139	0.387921768
140	0.3877802412
141	0.3877301956
142	0.386754727
143	0.3854859387
144	0.3852441712
145	0.385077887
146	0.3840781939
147	0.3836608069
148	0.3831680076
149	0.382777173
150	0.3823131475
151	0.3812166988
152	0.3803708111
153	0.3794184072
154	0.3794180871
155	0.3770179015
156	0.3767599309
157	0.3762250992
158	0.375528416
159	0.3747773368
160	0.3747076899
161	0.3742127764
162	0.3742127761
163	0.3735522904
164	0.3735401847
165	0.3723419055
166	0.3710752879
167	0.3698719647
168	0.3688596387
169	0.3681562979
170	0.3673083483
171	0.3667766586
172	0.3659097392
173	0.3650639407
174	0.3635665795
175	0.3624413619
176	0.3623168888
177	0.3613430535
178	0.3606289276
179	0.3600542992
180	0.3595328805
181	0.358833682
182	0.3588254792
183	0.3579584507
184	0.3579397726
185	0.3572738008
186	0.3565076122
187	0.3564222214
188	0.3558502582
189	0.3547254063
190	0.3541380558
191	0.3533703301
192	0.3521786993
193	0.3514209626
194	0.3506136947
195	0.3499389728
196	0.3499381136
197	0.3491375106
198	0.3490182472
199	0.3488806172
200	0.3488801812
201	0.3475170051
202	0.3467005922
203	0.346118756
204	0.3457738428
205	0.3453532366
206	0.3442925444
207	0.3439869563
208	0.3435012795
209	0.3433419821
210	0.3427486973
211	0.3424375013
212	0.3413079215
213	0.3401326845
214	0.3396973791
215	0.339244018
216	0.337872082
217	0.3369294816
218	0.3364099007
219	0.3362274832
220	0.3353816321
221	0.3350572458
222	0.3348138652
223	0.3340242408
224	0.3330161085
225	0.3328412374
226	0.3316311666
227	0.3311791448
228	0.3306481486
229	0.3304133297
230	0.3296211891
231	0.3289776487
232	0.3281290128
233	0.3276836144
234	0.3269334144
235	0.3264035322
236	0.3261951344
237	0.3248529838
238	0.3248289675
239	0.3243777106
240	0.3241342008
241	0.323764281
242	0.3232144627
243	0.3226696812
244	0.3225853031
245	0.3224371742
246	0.3212858687
247	0.3207586705
248	0.3204715789
249	0.319649623
250	0.3185548297
251	0.3176801069
252	0.3165144336
253	0.3157542889
254	0.3146332273
255	0.3133651357
256	0.3127920485
257	0.312499444
258	0.3118002477
259	0.3105077642
260	0.3091929562
261	0.3082177808
262	0.307803211
263	0.3066135864
264	0.305702658
265	0.3051172118
266	0.3038604017
267	0.3038371569
268	0.3029354343
269	0.302696298
270	0.3016494531
271	0.3013768332
272	0.3003824796
273	0.2992862325
274	0.2988189294
275	0.2985502735
276	0.2983498418
277	0.2977674677
278	0.2977662905
279	0.2970142227
280	0.2964972064
281	0.2961872979
282	0.2952644367
283	0.2943814812
284	0.2939834746
285	0.2937492841
286	0.2929320226
287	0.2928321167
288	0.2921328878
289	0.2920141416
290	0.2912230727
291	0.2911005219
292	0.2900184365
293	0.2883681754
294	0.2880893234
295	0.2875024851
296	0.2865904757
297	0.2860829402
298	0.285344249
299	0.285227189
300	0.2845844144
301	0.2841091186
302	0.2833141769
303	0.2826271025
304	0.2821524942
305	0.2809856732
306	0.2806249706
307	0.2803112142
308	0.2788546035
309	0.2779294035
310	0.2775708224
311	0.276631296
312	0.2761426792
313	0.274993302
314	0.2744902518
315	0.2740357251
316	0.2731827701
317	0.2725729071
318	0.2722723015
319	0.271684448
320	0.2715255628
321	0.271136553
322	0.270533564
323	0.269581904
324	0.269003199
325	0.2684606885
326	0.2678898603
327	0.2672993265
328	0.2662728122
329	0.2659158331
330	0.2654796576
331	0.2644552672
332	0.2638390739
333	0.263046682
334	0.2623207344
335	0.2618662173
336	0.2616783127
337	0.260744833
338	0.2600973542
339	0.2597305987
340	0.2590970932
341	0.2584108468
342	0.2573103165
343	0.2566695799
344	0.2560520741
345	0.2554552752
346	0.2551312459
347	0.2545277274
348	0.2543600379
349	0.2540609226
350	0.2532398695
351	0.2525560277
352	0.2519471688
353	0.2514158064
354	0.2508513156
355	0.2500009813
356	0.2494433894
357	0.2490575825
358	0.2478806129
359	0.2473107264
360	0.2471814182
361	0.2467526827
362	0.2453317278
363	0.2450879181
364	0.2443857279
365	0.2441737333
366	0.2440768261
367	0.2434827579
368	0.2428206225
369	0.2420377459
370	0.2419049024
371	0.2409004662
372	0.2398287137
373	0.2388347134
374	0.2380306574
375	0.2378231132
376	0.2371767313
377	0.2370767021
378	0.2363385526
379	0.2359547453
380	0.2349087402
381	0.2340227333
382	0.23373224
383	0.2328858913
384	0.2323672364
385	0.2321659868
386	0.2315074354
387	0.2308903456
388	0.2307672747
389	0.2297782745
390	0.2291716902
391	0.2287361646
392	0.2284191398
393	0.2279509428
394	0.2271305
395	0.2262906463
396	0.2257733135
397	0.2254906319
398	0.2251647995
399	0.2245487074
400	0.22398179
401	0.2237322979
402	0.2233423738
403	0.223072733
404	0.2224146062
405	0.2215761434
406	0.2210078944
407	0.2203315113
408	0.2198289178
409	0.2193595001
410	0.2186318703
411	0.2177250086
412	0.2176004489
413	0.2174940175
414	0.2173154024
415	0.2172062366
416	0.2166495917
417	0.2162327879
418	0.2152874704
419	0.2148325921
420	0.214283325
421	0.2134521188
422	0.2131596308
423	0.2128339106
424	0.2124021993
425	0.2117476163
426	0.2114846144
427	0.2107904196
428	0.21000318
429	0.2095219218
430	0.2090367532
431	0.2089439842
432	0.2081872939
433	0.2079529835
434	0.2074934773
435	0.2072318745
436	0.206452916
437	0.2062914911
438	0.2059183767
439	0.2057484752
440	0.2054050678
441	0.2051227288
442	0.2048277631
443	0.2046204602
444	0.2044214153
445	0.2039391951
446	0.2036169094
447	0.2031573691
448	0.2028376853
449	0.2022247178
450	0.2020963894
451	0.2016937781
452	0.2009912976
453	0.2006043145
454	0.2002751779
455	0.1996940493
456	0.1988772629
457	0.1986016789
458	0.198164612
459	0.1973287031
460	0.1970780745
461	0.1970253672
462	0.1964592011
463	0.1963639688
464	0.1962154227
465	0.1958257116
466	0.1956162228
467	0.1947645726
468	0.193983001
469	0.1936852154
470	0.1930475933
471	0.1923989335
472	0.1918297085
473	0.1917777816
474	0.1916475471
475	0.190979996
476	0.1906801937
477	0.190444704
478	0.1899678043
479	0.1894028531
480	0.1890059825
481	0.188734808
482	0.1884624641
483	0.1876515946
484	0.1875346639
485	0.1872813439
486	0.1871160296
487	0.1866949912
488	0.1864129502
489	0.1857394115
490	0.1853918972
491	0.1846242477
492	0.184060584
493	0.1837545586
494	0.1831369109
495	0.1830002192
496	0.182197244
497	0.1818584091
498	0.1814927921
499	0.181399901
500	0.181153053
501	0.1809382989
502	0.1806686195
503	0.1803564436
504	0.1801262584
505	0.1795834
506	0.1794904973
507	0.1791711205
508	0.1789820955
509	0.1783480649
510	0.1782004667
511	0.1778246653
512	0.1776248818
513	0.1772274559
514	0.1767835588
515	0.1763087216
516	0.1760450228
517	0.1759718067
518	0.1757431045
519	0.1755383187
520	0.1754533986
521	0.1753223371
522	0.1747938473
523	0.174578828
524	0.1744295089
525	0.1743103392
526	0.1738098077
527	0.1735307987
528	0.1733931693
529	0.1728629584
530	0.1722265154
531	0.1718135399
532	0.1716195132
533	0.1714715048
534	0.1713270008
535	0.1710847627
536	0.1707540466
537	0.1702257173
538	0.1700465417
539	0.1698287633
540	0.1697710284
541	0.1695899638
542	0.1692707594
543	0.1691006968
544	0.168967601
545	0.1687634453
546	0.168392128
547	0.1677620168
548	0.1672923824
549	0.167144833
550	0.1669032944
551	0.1666563625
552	0.1664727398
553	0.1664168928
554	0.1662099991
555	0.165713184
556	0.1653875807
557	0.1650257098
558	0.1645259061
559	0.1641063007
